id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1245119365932101633,1242168194506391555,2020-03-31 23:42:44 BST,2020-03-31,23:42:44,+0000,37888829,janebramley,Jane Bramley 💙🇪🇺🐝 🕷,,@JulianFrankland We’re putting them into lockdown. With Shula #TheArchers,en,[],[],[],1,0,2,['thearchers'],[],https://twitter.com/janebramley/status/1245119365932101633,False,,0,,United Kingdom,,,,,,"[{'screen_name': 'JulianFrankland', 'name': 'Blimey O’Reilly', 'id': '712661476209778689'}]",,,,
1245119245253586944,1245119245253586944,2020-03-31 23:42:15 BST,2020-03-31,23:42:15,+0000,36074951,citysleuth,Adrian Wright,,I've been shouting about this for weeks. No one seems interested or can see that it's undermining all our domestic lockdown efforts and pain,en,[],[],[],1,4,6,[],[],https://twitter.com/citysleuth/status/1245119245253586944,False,https://twitter.com/AlexInAir/status/1245063189336936450,0,,United Kingdom,,,,,,[],,,,
1245119113082568704,1245119113082568704,2020-03-31 23:41:44 BST,2020-03-31,23:41:44,+0000,356488026,tanky7,tanky,,"When lockdown is over the government needs to go full marshall plan, even if it means magicing money out of the electronic ether. No half measures.",en,[],[],[],0,0,0,[],[],https://twitter.com/tanky7/status/1245119113082568704,False,,0,,United Kingdom,,,,,,[],,,,
1245119023257391104,1245119023257391104,2020-03-31 23:41:22 BST,2020-03-31,23:41:22,+0000,802186994130501632,paula_artist6,Paula_Artist,,@Paula_Artist6 #New #painting 16x20inch of St Martins Church @Bullring inspired by #photos of @alex_tz78 reminder of last year #thunderstorm over the #city. #ArtLovers #ArtHelps in the #lockdown  #artclub #Artcravity #artcollector #homedecor  https://t.co/WuhnBQRPCk,en,"[{'screen_name': 'bullring', 'name': 'bullring & grand central', 'id': '28320457'}]",[],"['https://pbs.twimg.com/media/EUeNEZ9XsAY1qBj.jpg', 'https://pbs.twimg.com/media/EUeNF67XsAEHHQF.jpg', 'https://pbs.twimg.com/media/EUeNG9zWkAA149H.jpg', 'https://pbs.twimg.com/media/EUeNI0gWsAAg7kK.jpg']",0,0,4,"['new', 'painting', 'photos', 'thunderstorm', 'city', 'artlovers', 'arthelps', 'lockdown', 'artclub', 'artcravity', 'artcollector', 'homedecor']",[],https://twitter.com/Paula_Artist6/status/1245119023257391104,False,,1,https://pbs.twimg.com/media/EUeNEZ9XsAY1qBj.jpg,United Kingdom,,,,,,[],,,,
1245118265967415296,1245112454289543168,2020-03-31 23:38:22 BST,2020-03-31,23:38:22,+0000,865932250885521408,u2history,U2 History,,@purplemonkeyemi We are about 2 weeks in but this week is the start of the full lock down here! I don’t envy you! But we’ll get there in the end!,en,[],[],[],1,0,1,[],[],https://twitter.com/U2History/status/1245118265967415296,False,,0,,United Kingdom,,,,,,[],,,,
1245118258677788674,1245118258677788674,2020-03-31 23:38:20 BST,2020-03-31,23:38:20,+0000,40516961,steveallen__,steve allen,,"Halve past something o'clock, coffee and shower, ready for another lock down day, clear head, ciao ✌️❤️",en,[],[],[],0,0,0,[],[],https://twitter.com/SteveAllen__/status/1245118258677788674,False,,0,,United Kingdom,,,,,,[],,,,
1245118208455118848,1245118208455118848,2020-03-31 23:38:08 BST,2020-03-31,23:38:08,+0000,1241735820765249536,asbaibadr,Badr asbai,,Door een lockdown raken heel veel mensen geïnfecteerd met een psychische aandoening. Tel de doden in 2021 en de jaren erna maar op na.,nl,[],[],[],1,2,3,[],[],https://twitter.com/AsbaiBadr/status/1245118208455118848,False,,0,,United Kingdom,,,,,,[],,,,
1245118136074076164,1244680999281348613,2020-03-31 23:37:51 BST,2020-03-31,23:37:51,+0000,966387252082429952,arte_nicola,Nicola,,"@Galactic_Unit @lucasdell Thank you very much, I’m glad you like them 😊 it helped my lockdown weekend for sure 😉",en,[],[],[],1,0,1,[],[],https://twitter.com/arte_nicola/status/1245118136074076164,False,,0,,United Kingdom,,,,,,"[{'screen_name': 'Galactic_Unit', 'name': 'Brandyn - Age 28', 'id': '1214390483339894792'}, {'screen_name': 'lucasdell', 'name': 'Lucas Dell - ACAB', 'id': '439393261'}]",,,,
1245138738356854785
1245138640864509952
